"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,1.62830913988143,2.82767195516364
2,1.96432911713835,3.94897824734436
3,2.79829430581197,4.68367688036318
4,3.26303960362281,5.30131240182121
5,3.63694701910343,5.48629126361687
6,3.83304825744371,5.70978388379998
7,3.92683451967284,5.73706064715034
8,4.00047561265399,5.81110836479431
9,4.03062803127192,5.89003153668866
10,4.05443351146061,5.92650148056611
11,4.0679960084437,5.9404170734259
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
