"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,2.9957092312387,5.20821976150084
2,3.84213844480344,5.7384492861788
3,4.6482257401029,6.35421646190774
4,4.89197165744299,6.95811334960427
5,4.97398684713341,7.22350727624973
6,5.0155985866853,7.35386240835825
7,5.0487200729654,7.39877502775082
8,5.08237952244022,7.42578534165403
9,5.10403410457979,7.43410402788553
10,5.11898610214527,7.44559047120124
11,5.12914482883299,7.45658267440002
12,5.13744490135057,7.45935653518451
13,5.14396095768335,7.46132656142739
14,5.14903848020278,7.46352245016375
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
