"Pass []","re(Mode(1)) [g]"
1,10.9646446875844
2,11.4203639885025
3,9.55949842391924
4,8.71518556306093
5,8.83751091450717
6,8.8729342006502
7,8.34119222851036
8,8.56602156317594
9,8.29986659050989
10,7.8971263787086
11,8.1034316432653
12,8.0566712004202
13,8.10961901644974
14,8.11274154742665
15,8.12372409447472
16,8.1146916667213
17,8.11531813587858
18,8.11194025247496
19,8.12457226572476
20,8.12542532310029
21,8.13010186237802
22,8.13770746423267
23,8.14893828641873
24,8.15112040807003
25,8.15115235357717
26,
27,
28,
29,
30,
