,pad_size(mm),coupling_len(um),C_CPW_Qb,C_CPW_Qbp,C_Qb_g
0,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
1,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
2,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
3,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
4,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
5,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
6,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
7,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
8,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
9,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
10,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
11,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
12,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
13,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
14,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
15,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
16,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
17,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
18,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
19,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
20,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
21,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
22,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
23,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
24,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
25,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
26,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
27,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
28,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
29,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
30,0.20000000000000004,80.0,-11.73622,-71.60181,-82.9802
31,0.20000000000000004,80.0,-11.59277,-71.53972,-82.9785
32,0.20000000000000004,80.0,-11.48817,-71.8469,-82.99518
