,pad_size(mm),coupling_len(um),offset,C_CPW_Qb,C_CPW_Qbp,C_Qb_g
0,0.15,5.0,0.2,-4.85298,-52.1856,-56.95822
1,0.15,5.0,0.2833333333333333,-4.78386,-52.25376,-56.95792
2,0.15,5.0,0.3666666666666667,-4.70063,-52.34015,-56.95659
3,0.15,5.0,0.45,-4.62769,-52.41203,-56.95211
4,0.17666666666666667,5.0,0.2,-5.63982,-63.8505,-69.33714
5,0.17666666666666667,5.0,0.2833333333333333,-5.55387,-63.93517,-69.33651
6,0.17666666666666667,5.0,0.3666666666666667,-5.45145,-64.03744,-69.33191
7,0.17666666666666667,5.0,0.45,-5.35586,-64.13349,-69.32821
8,0.20333333333333334,5.0,0.2,-6.44191,-75.70146,-81.99803
9,0.20333333333333334,5.0,0.2833333333333333,-6.34177,-75.8032,-81.99337
10,0.20333333333333334,5.0,0.3666666666666667,-6.22085,-75.92114,-81.99586
11,0.20333333333333334,5.0,0.45,-6.10603,-76.0424,-81.99323
12,0.23,5.0,0.2,-7.28424,-87.97871,-95.02185
13,0.23,5.0,0.2833333333333333,-7.16955,-88.09171,-95.02262
14,0.23,5.0,0.3666666666666667,-7.02746,-88.12069,-95.02199
15,0.23,5.0,0.45,-6.89849,-88.36185,-95.02108
16,0.15,10.0,0.2,-5.17735,-52.00537,-57.11591
17,0.15,10.0,0.2833333333333333,-5.10883,-52.0735,-57.11578
18,0.15,10.0,0.3666666666666667,-5.02624,-52.15936,-57.11608
19,0.15,10.0,0.45,-4.95296,-52.23067,-57.11342
20,0.17666666666666667,10.0,0.2,-5.96874,-63.66942,-69.47915
21,0.17666666666666667,10.0,0.2833333333333333,-5.88333,-63.7544,-69.4781
22,0.17666666666666667,10.0,0.3666666666666667,-5.78098,-63.85536,-69.47666
23,0.17666666666666667,10.0,0.45,-5.68558,-63.9514,-69.47272
24,0.20333333333333334,10.0,0.2,-6.77117,-75.51885,-82.13395
25,0.20333333333333334,10.0,0.2833333333333333,-6.6713,-75.62092,-82.13272
26,0.20333333333333334,10.0,0.3666666666666667,-6.5511,-75.73761,-82.1326
27,0.20333333333333334,10.0,0.45,-6.43627,-75.8592,-82.13156
28,0.23,10.0,0.2,-7.61889,-87.7965,-95.17168
29,0.23,10.0,0.2833333333333333,-7.505,-87.90878,-95.17205
30,0.23,10.0,0.3666666666666667,-7.36126,-87.93438,-95.17189
31,0.23,10.0,0.45,-7.2344,-88.1781,-95.16827
32,0.15,15.0,0.2,-5.51025,-51.83129,-57.26684
33,0.15,15.0,0.2833333333333333,-5.44219,-51.89905,-57.26597
34,0.15,15.0,0.3666666666666667,-5.35978,-51.98673,-57.26458
35,0.15,15.0,0.45,-5.28682,-52.05457,-57.25496
36,0.17666666666666667,15.0,0.2,-6.30542,-63.49889,-69.60661
37,0.17666666666666667,15.0,0.2833333333333333,-6.22077,-63.58388,-69.60352
38,0.17666666666666667,15.0,0.3666666666666667,-6.11856,-63.68364,-69.60326
39,0.17666666666666667,15.0,0.45,-6.02346,-63.77997,-69.60123
40,0.20333333333333334,15.0,0.2,-7.11005,-75.34976,-82.30046
41,0.20333333333333334,15.0,0.2833333333333333,-7.01166,-75.45285,-82.27766
42,0.20333333333333334,15.0,0.3666666666666667,-6.89086,-75.56838,-82.30458
43,0.20333333333333334,15.0,0.45,-6.77754,-75.68946,-82.29975
44,0.23,15.0,0.2,-7.96073,-87.61595,-95.3288
45,0.23,15.0,0.2833333333333333,-7.84701,-87.72867,-95.32918
46,0.23,15.0,0.3666666666666667,-7.70586,-87.74397,-95.32926
47,0.23,15.0,0.45,-7.56931,-87.89223,-95.32662
