,pad_size(mm),coupling_len(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Cj (fF),Lj (nH),Small_Wrap,TQx,TQy,TQ_mir,C_CPW_Qb,C_CPW_Qbp,C_Qb_g,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,0.25,20.0,188.0,0.0,4.0,8.807372605569507,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-8.0692,-95.76996,-103.80525,4.20240355418279,6.39799501875778,4021.0079695978197,190.05377593370721,6397.630966492236,0.6569381806488037,0.0006253115234375
1,0.25,40.0,188.0,0.0,4.0,8.807372605569507,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-9.19447,-95.20588,-104.36588,4.19148553623167,6.3797145884691,4011.1031401643736,188.88018403875827,6379.220033194564,0.8920160993537902,0.0011598390426635742
2,0.23500000000000001,20.0,184.0,0.0,4.2,9.008272569091718,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-7.68514,-88.66254,-96.25897,4.36248763393002,6.60354596570764,4166.568042586516,205.59282640777207,6603.133483989184,0.7398790821475982,0.0007370493488311768
3,0.23500000000000001,40.0,184.0,0.0,4.2,9.008272569091718,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-8.80386,-88.08819,-96.80968,4.34394377430079,6.58484148991638,4149.771488986176,203.62321636742305,6584.285716417257,0.997328780014038,0.0013509272499084473
4,0.20800000000000002,20.0,193.0,0.0,4.4,9.200850159644736,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-6.70904,-76.23538,-82.93154,4.68610205750222,6.79738961688653,4459.017017395438,239.05069738497542,6796.866238398199,0.9115597429466247,0.0009848736667633056
5,0.20800000000000002,40.0,193.0,0.0,4.4,9.200850159644736,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-7.80089,-75.67149,-83.46305,4.66658431259323,6.77555203431351,4441.538639974367,236.72585830083847,6774.814139297892,1.2855773416843415,0.0019762528324127194
6,0.245,20.0,250.0,0.05,4.6000000000000005,9.399752638200777,4.410020111571073,10,True,0.3675mm,0.5mm,False,-6.17321,-95.18167,-101.29098,4.82104155971045,7.0176943582641,4639.007197875967,189.76922090259933,7017.38079660429,0.5615753286514282,0.0004595757827758789
7,0.245,40.0,250.0,0.05,4.6000000000000005,9.399752638200777,4.410020111571073,10,True,0.3675mm,0.5mm,False,-7.30354,-94.60496,-101.84189,4.81043837843594,6.9950517597837,4629.292168916989,188.72342338264082,6994.591005552388,0.8244423434162139,0.0009960950508117676
8,0.223,20.0,210.0,0.055,4.800000000000001,9.600418842420378,4.410020111571073,10,True,0.03mm,0.5mm,False,-6.32313,-84.05425,-90.27863,5.09683130140534,7.23939359301799,4892.757961808604,213.15753178054237,7238.925369183155,0.8230810404644012,0.0008917082996368408
9,0.223,40.0,210.0,0.055,4.800000000000001,9.600418842420378,4.410020111571073,10,True,0.03mm,0.5mm,False,-7.42923,-83.48361,-90.81871,5.08258386156034,7.21469968316816,4879.7773028225665,211.67149017813108,7214.022490949713,1.1894415768795013,0.0018750165710449218
