,pad_size(mm),coupling_len(um),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,0.15,20.0,5.73899002972923,7.69367860630545,5394.20427159684,366.1047170189037,7691.982548426763,2.68785939758873,0.005988711149215698
1,0.15,20.0,5.74249226923655,8.02990436033108,5397.088139798882,366.78854655371475,8028.502471992814,2.311316742778778,0.0043063297615051266
2,0.15,20.0,5.73873734505961,8.39579122442417,5393.654902158779,366.4696553671245,8394.622990862006,1.992970187505722,0.0031318065586090084
3,0.15,20.0,5.74137609130764,8.79178137680075,5395.870759802944,366.9598341756115,8790.77781320673,1.7606555460281372,0.0023965993537902832
4,0.17666666666666667,20.0,5.20961603634668,7.30084373723486,4927.408576218636,298.30905059140775,7299.749538343481,1.8347639608020783,0.003289686933517456
5,0.17666666666666667,20.0,5.20952686075027,7.60270228364836,4927.223050926394,298.44928730050657,7601.77414132285,1.600576637058258,0.0024539777240753175
6,0.17666666666666667,20.0,5.20544938567421,7.9267251310156,4923.51393430882,298.09015677934644,7925.933017204846,1.3997619226093292,0.0018471224040985106
7,0.17666666666666667,20.0,5.21033531055959,8.28389741266118,4927.805784267928,298.7620987563419,8283.19988819174,1.2583752904052734,0.0014692259712219238
8,0.20333333333333334,20.0,4.78634652865122,6.94116512802842,4549.4396402028815,249.4763650831375,6940.389058115813,1.3471769374065399,0.002065730405807495
9,0.20333333333333334,20.0,4.78999583619534,7.21382122712584,4552.662081231428,249.96813366241454,7213.144305816736,1.1996278987789153,0.0016104961547851562
10,0.20333333333333334,20.0,4.79000534554062,7.5086135126058,4552.620482432894,250.05502302658462,7508.020944568415,1.0699613533363341,0.0012634678173065186
11,0.20333333333333334,20.0,4.78970450237393,7.82731280410416,4552.308936299061,250.09662090922927,7826.790632459041,0.9587472265110015,0.0010031558418273924
12,0.23,20.0,4.44848113615251,6.61797431488604,4244.7786665082995,213.82598676993464,6617.375404670936,1.062930880449295,0.001474120641708374
13,0.23,20.0,4.44645057899743,6.86377756185641,4242.890083609772,213.70545279536913,6863.254095677325,0.9450218365974425,0.0011510961799621581
14,0.23,20.0,4.44672942700804,7.12864717551567,4243.10837580806,213.7983981558056,7128.18460141214,0.8477212327480316,0.0009155914001464843
15,0.23,20.0,4.4469330250742,7.41584784857018,4243.265468669795,213.87185172752856,7415.433885237334,0.7690879448089599,0.0007466319561004639
16,0.15,25.0,5.7336626023862,7.68521359318243,5389.645546192066,365.1814218084354,7683.280629705589,3.061865881181717,0.007790327812194824
17,0.15,25.0,5.73257371028959,8.0197295404421,5388.474051908599,365.28771714468763,8018.1429810279005,2.6164896492710112,0.005538253391265869
18,0.15,25.0,5.73083314222235,8.38472372950397,5386.789506196126,365.2613206589393,8383.3983728834,2.26074550935173,0.004042283363342285
19,0.15,25.0,5.72637470294258,8.77798076730387,5382.756837366671,364.8385305528316,8776.852446827277,1.9806415343894959,0.003048337810516357
