,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Target_qb_Freq(GHz),Ljs,Ljs (nH),Offsets (mm),TQx,TQy,Small,TQ_mir,CPW_freq_predict(GHz),Coupling_len(um),Coupling_len,Coupling_gap(um),Coupling_gap_feedline(um),Sizes (um),Buffers (um)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,13nH,13,0.0,-0.267mm,0.45mm,False,True,6.401282248384626,47,47um,15,1.25,223.2924185408503,238.7075814591497
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.2,13nH,13,0.0,-0.2535mm,0.44mm,False,True,6.689526253150656,40,40um,15,1.54,201.97391237215967,233.02608762784035
2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.4,13nH,13,0.0,-0.2485mm,0.43mm,False,True,6.796263424905453,24,24um,15,1.86,235.13629118394644,189.8637088160536
3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.6000000000000005,10nH,10,0.05,0.3675mm,0.5mm,True,False,6.993692609709524,47,47um,15,2.19,213.7181183384471,281.2818816615528
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.800000000000001,10nH,10,0.055,0.3605mm,0.458mm,True,False,7.212317389162276,30,30um,15,2.54,238.49375963686293,242.50624036313707
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.000000000000001,10nH,10,0.055,0.3485mm,0.45mm,True,False,7.495441475617405,27,27um,15,2.88,218.8514249412416,238.1485750587584
6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.200000000000001,8nH,8,0.042,0.3425mm,0.46mm,True,False,7.5935588611852864,25,25um,15,3.25,200.24279936358064,244.75720063641936
7,7,7,7,7,7,7,7,7,7,7,7,7,7,5.400000000000001,8nH,8,0.065,0.3375mm,0.46mm,True,False,7.799704163462952,23,23um,15,3.61,236.9230947301566,198.0769052698434
8,8,8,8,8,8,8,8,8,8,8,8,8,8,5.600000000000001,8nH,8,0.055,0.329mm,0.44mm,True,False,8.006815273400699,25,25um,20,3.99,217.99719033204124,200.0028096679588
9,9,9,9,9,9,9,9,9,9,9,9,9,9,5.800000000000002,8nH,8,0.2,0.343mm,0.45mm,True,False,8.2041756363162,30,30um,20,4.36,200.5376711337667,245.4623288662333
