,Target_qb_Freq(GHz),Sizes (um),Ljs,Ljs (nH),Buffers (um),Offsets (mm),TQx,TQy,Small,TQ_mir,CPW_freq_predict(GHz),Coupling_len(um),Coupling_len,Coupling_gap(um),Coupling_gap_feedline(um)
0,4.0,250,13nH,13,212,0.0,-0.267mm,0.45mm,False,True,6.401282248384626,47,47um,15,1.25
1,4.2,235,13nH,13,200,0.0,-0.2535mm,0.44mm,False,True,6.689526253150656,40,40um,15,1.54
2,4.4,208,13nH,13,217,0.0,-0.2485mm,0.43mm,False,True,6.796263424905453,24,24um,15,1.86
3,4.6000000000000005,245,10nH,10,250,0.05,0.3675mm,0.5mm,True,False,6.993692609709524,47,47um,15,2.19
4,4.800000000000001,223,10nH,10,258,0.055,0.3605mm,0.458mm,True,False,7.212317389162276,30,30um,15,2.54
5,5.000000000000001,214,10nH,10,243,0.055,0.3485mm,0.45mm,True,False,7.495441475617405,27,27um,15,2.88
6,5.200000000000001,235,8nH,8,210,0.042,0.3425mm,0.46mm,True,False,7.5935588611852864,25,25um,15,3.25
7,5.400000000000001,225,8nH,8,210,0.065,0.3375mm,0.46mm,True,False,7.799704163462952,23,23um,15,3.61
8,5.600000000000001,206,8nH,8,212,0.055,0.329mm,0.44mm,True,False,8.006815273400699,25,25um,20,3.99
9,5.800000000000002,193,8nH,8,253,0.2,0.343mm,0.45mm,True,False,8.2041756363162,30,30um,20,4.36
