,pos1,pos2,C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,_0_0_,_1_0_,-0.02261,-81.95023,-102.19312,4.46055277479973,5.32189938678952,4305.180197312331,161.68634164584063,5145.111461456094,0.00016386538887023925,183.67458122518158
1,_1_0_,_2_0_,-0.11959,-102.26,-91.56944,4.46141612210436,5.10082013813927,4306.011951941503,161.71578044897365,4938.908294235133,0.008233494117736816,167.95417417625998
2,_1_0_,_3_0_,-0.00418,-102.31416,-83.22384,4.36655760250487,4.46685436502352,4170.104387099852,206.4393850850439,4310.984255416439,-1.6404638290405273e-06,162.21529227098654
3,_2_0_,_3_0_,-0.08913,-91.65416,-83.22763,4.36375010760023,5.10117133974725,4167.745905260703,205.94753962426185,4939.244219404664,0.0037146639957427977,167.9728685546398
4,_3_0_,_4_0_,-0.09673,-83.17452,-96.63145,4.36611041960175,4.99721637832005,4169.590385656994,206.5143721441965,4841.951327849374,0.0054578361282348635,160.94798065988158
5,_4_0_,_5_0_,-0.1387,-96.63112,-104.56672,3.95487289738444,4.99637128370013,3794.831637136528,167.4681773306961,4841.121533313113,0.002984155282974243,160.93494678689765
6,_5_0_,_6_0_,-0.12381,-104.85875,-90.77593,3.95263813353672,4.68645419619018,3793.0229224745362,167.0023279677639,4514.367647851268,0.005703364645957947,179.41779331576157
7,_6_0_,_7_0_,-0.07752,-90.84595,-75.47714,4.69049726066164,5.48635159191207,4518.072092006025,179.7809617158222,5298.056033702524,0.0035614375896453857,195.85143339433478
8,_7_0_,_8_0_,-0.06507,-75.64699,-86.2896,4.78659959014293,5.48786304699274,4606.717156208305,187.71087808999823,5299.52610259807,0.004213584209442138,195.89235276365852
9,_8_0_,_9_0_,-0.01613,-86.48282,-97.26154,4.08783159714167,4.78735172506178,3916.421219835398,179.61659613737868,4607.372485352288,0.00015413065814971923,187.81675667756463
