"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,4.53416372505441,5.20284212926358
2,5.41948010810035,6.09046141896347
3,5.77164363928691,6.93161584366872
4,5.9342539601072,7.48048924598065
5,6.01342858358917,7.81817075942807
6,6.07226661019182,7.99288825728734
7,6.10627937163387,8.06204792192934
8,6.13704861563305,8.08963046668253
9,6.15929905304031,8.1031534442978
10,6.17382667163411,8.11482460194035
11,6.18238123925742,8.12850288744366
12,6.19352242265368,8.13305068886457
13,6.20203924894903,8.13589780730503
14,6.21048343943621,8.13894776480488
15,6.21681570481461,8.13834423384133
16,6.22132805951062,8.13845475821362
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
